loc: 198, nll: 3.79, ppl: 44.22
loc: 199, nll: 2.13, ppl: 8.42
loc: 200, nll: 1.21, ppl: 3.37
loc: 201, nll: 2.81, ppl: 16.53
loc: 202, nll: 1.37, ppl: 3.95
loc: 203, nll: 0.13, ppl: 1.14
loc: 204, nll: 7.58, ppl: 1950.68
loc: 205, nll: 0.68, ppl: 1.98
loc: 206, nll: 0.09, ppl: 1.10
loc: 207, nll: 0.17, ppl: 1.19
loc: 208, nll: 2.02, ppl: 7.55
loc: 209, nll: 0.21, ppl: 1.24
loc: 210, nll: 0.24, ppl: 1.27
loc: 211, nll: 6.98, ppl: 1076.04
loc: 212, nll: 0.53, ppl: 1.71
loc: 213, nll: 3.19, ppl: 24.25
loc: 214, nll: 3.42, ppl: 30.52
loc: 215, nll: 2.59, ppl: 13.38
loc: 216, nll: 0.94, ppl: 2.57
loc: 217, nll: 0.20, ppl: 1.22
loc: 218, nll: 2.86, ppl: 17.49
loc: 219, nll: 0.44, ppl: 1.56
loc: 220, nll: 0.04, ppl: 1.04
loc: 221, nll: 3.39, ppl: 29.63
loc: 222, nll: 2.46, ppl: 11.73
loc: 223, nll: 1.73, ppl: 5.64
loc: 224, nll: 2.53, ppl: 12.61
loc: 225, nll: 0.26, ppl: 1.30
loc: 226, nll: 0.05, ppl: 1.05
loc: 227, nll: 0.16, ppl: 1.17
loc: 228, nll: 10.66, ppl: 42572.80
loc: 229, nll: 0.74, ppl: 2.10
loc: 230, nll: 6.91, ppl: 1002.90
loc: 231, nll: 1.64, ppl: 5.13
loc: 232, nll: 0.03, ppl: 1.03
loc: 233, nll: 1.26, ppl: 3.52
loc: 234, nll: 1.25, ppl: 3.48
loc: 235, nll: 1.31, ppl: 3.69
loc: 236, nll: 5.49, ppl: 241.81
loc: 237, nll: 0.01, ppl: 1.01
loc: 238, nll: 0.03, ppl: 1.03
loc: 239, nll: 2.28, ppl: 9.74
loc: 240, nll: 2.12, ppl: 8.34
loc: 241, nll: 1.71, ppl: 5.55
loc: 242, nll: 1.60, ppl: 4.97
loc: 243, nll: 0.18, ppl: 1.19
loc: 244, nll: 0.01, ppl: 1.01
loc: 245, nll: 0.00, ppl: 1.00
loc: 246, nll: 0.00, ppl: 1.00
loc: 247, nll: 2.02, ppl: 7.52
loc: 248, nll: 0.00, ppl: 1.00
loc: 249, nll: 0.99, ppl: 2.70
loc: 250, nll: 0.00, ppl: 1.00
loc: 251, nll: 0.85, ppl: 2.34
loc: 252, nll: 3.79, ppl: 44.28
loc: 253, nll: 0.00, ppl: 1.00
loc: 254, nll: 0.22, ppl: 1.25
loc: 255, nll: 1.60, ppl: 4.95
loc: 256, nll: 0.12, ppl: 1.12
loc: 257, nll: 1.14, ppl: 3.13
loc: 258, nll: 1.50, ppl: 4.50
loc: 259, nll: 2.66, ppl: 14.27
loc: 260, nll: 1.98, ppl: 7.22
loc: 261, nll: 1.62, ppl: 5.03
loc: 262, nll: 5.18, ppl: 176.91
loc: 263, nll: 1.24, ppl: 3.47
loc: 264, nll: 2.28, ppl: 9.81
loc: 265, nll: 0.00, ppl: 1.00
loc: 266, nll: 0.32, ppl: 1.38
loc: 267, nll: 0.00, ppl: 1.00
loc: 268, nll: 2.45, ppl: 11.59
loc: 269, nll: 0.76, ppl: 2.14
loc: 270, nll: 1.98, ppl: 7.24
loc: 271, nll: 0.01, ppl: 1.01
loc: 272, nll: 0.06, ppl: 1.06
loc: 273, nll: 1.04, ppl: 2.83
loc: 274, nll: 0.54, ppl: 1.71
loc: 275, nll: 2.70, ppl: 14.93
loc: 276, nll: 0.76, ppl: 2.13
loc: 277, nll: 0.01, ppl: 1.01
loc: 278, nll: 1.73, ppl: 5.63
loc: 279, nll: 1.44, ppl: 4.22
loc: 280, nll: 2.59, ppl: 13.30
loc: 281, nll: 0.44, ppl: 1.56
loc: 282, nll: 0.07, ppl: 1.07
loc: 283, nll: 0.00, ppl: 1.00
loc: 284, nll: 0.00, ppl: 1.00
loc: 285, nll: 4.26, ppl: 70.61
loc: 286, nll: 0.07, ppl: 1.07
loc: 287, nll: 1.24, ppl: 3.47
loc: 288, nll: 0.31, ppl: 1.36
loc: 289, nll: 0.00, ppl: 1.00
loc: 290, nll: 0.00, ppl: 1.00
loc: 291, nll: 0.00, ppl: 1.00
loc: 292, nll: 0.00, ppl: 1.00
loc: 293, nll: 1.35, ppl: 3.84
loc: 294, nll: 0.04, ppl: 1.05
loc: 295, nll: 2.95, ppl: 19.16
loc: 296, nll: 0.10, ppl: 1.11
loc: 297, nll: 0.36, ppl: 1.44
loc: 298, nll: 0.49, ppl: 1.64
loc: 299, nll: 0.00, ppl: 1.00
loc: 300, nll: 0.20, ppl: 1.22
loc: 301, nll: 1.03, ppl: 2.81
loc: 302, nll: 1.09, ppl: 2.99
loc: 303, nll: 0.86, ppl: 2.37
loc: 304, nll: 0.37, ppl: 1.45
loc: 305, nll: 2.54, ppl: 12.70
loc: 306, nll: 7.27, ppl: 1431.71
loc: 307, nll: 3.11, ppl: 22.44
loc: 308, nll: 0.60, ppl: 1.83
loc: 309, nll: 3.17, ppl: 23.82
loc: 310, nll: 0.30, ppl: 1.34
loc: 311, nll: 0.33, ppl: 1.40
loc: 312, nll: 1.59, ppl: 4.91
loc: 313, nll: 0.01, ppl: 1.01
loc: 314, nll: 0.09, ppl: 1.09
loc: 315, nll: 0.09, ppl: 1.09
loc: 316, nll: 0.33, ppl: 1.39
loc: 317, nll: 0.00, ppl: 1.00
loc: 318, nll: 0.00, ppl: 1.00
loc: 319, nll: 0.17, ppl: 1.19
loc: 320, nll: 0.00, ppl: 1.00
loc: 321, nll: 0.43, ppl: 1.54
loc: 322, nll: 0.05, ppl: 1.05
loc: 323, nll: 2.32, ppl: 10.20
loc: 324, nll: 0.62, ppl: 1.85
loc: 325, nll: 0.56, ppl: 1.76
loc: 326, nll: 8.11, ppl: 3341.96
loc: 327, nll: 0.33, ppl: 1.39
loc: 328, nll: 0.09, ppl: 1.09
loc: 329, nll: 0.54, ppl: 1.72
loc: 330, nll: 0.65, ppl: 1.91
loc: 331, nll: 5.03, ppl: 152.34
loc: 332, nll: 0.42, ppl: 1.52
loc: 333, nll: 2.51, ppl: 12.36
loc: 334, nll: 0.89, ppl: 2.43
loc: 335, nll: 0.11, ppl: 1.12
loc: 336, nll: 2.52, ppl: 12.42
loc: 337, nll: 0.20, ppl: 1.23
loc: 338, nll: 0.16, ppl: 1.18
