loc: 120, nll: 0.01, ppl: 1.01
loc: 121, nll: 0.00, ppl: 1.00
loc: 122, nll: 1.68, ppl: 5.35
loc: 123, nll: 1.71, ppl: 5.55
loc: 124, nll: 0.16, ppl: 1.17
loc: 125, nll: 0.00, ppl: 1.00
loc: 126, nll: 0.00, ppl: 1.00
loc: 127, nll: 2.40, ppl: 11.03
loc: 128, nll: 0.13, ppl: 1.14
loc: 129, nll: 0.00, ppl: 1.00
loc: 130, nll: 0.01, ppl: 1.01
loc: 131, nll: 0.01, ppl: 1.01
loc: 132, nll: 0.13, ppl: 1.14
loc: 133, nll: 1.56, ppl: 4.76
loc: 134, nll: 0.57, ppl: 1.76
loc: 135, nll: 0.06, ppl: 1.07
loc: 136, nll: 6.43, ppl: 621.63
loc: 137, nll: 7.47, ppl: 1760.21
loc: 138, nll: 0.00, ppl: 1.00
loc: 139, nll: 0.05, ppl: 1.05
loc: 140, nll: 2.63, ppl: 13.82
loc: 141, nll: 0.01, ppl: 1.01
loc: 142, nll: 0.00, ppl: 1.00
loc: 143, nll: 0.00, ppl: 1.00
loc: 144, nll: 1.63, ppl: 5.09
loc: 145, nll: 7.96, ppl: 2851.22
loc: 146, nll: 1.34, ppl: 3.82
loc: 147, nll: 0.00, ppl: 1.00
loc: 148, nll: 5.79, ppl: 325.55
loc: 149, nll: 0.01, ppl: 1.01
loc: 150, nll: 0.00, ppl: 1.00
loc: 151, nll: 1.14, ppl: 3.12
loc: 152, nll: 2.42, ppl: 11.26
loc: 153, nll: 0.08, ppl: 1.08
loc: 154, nll: 0.00, ppl: 1.00
loc: 155, nll: 5.22, ppl: 185.79
loc: 156, nll: 6.29, ppl: 538.38
loc: 157, nll: 8.84, ppl: 6936.10
loc: 158, nll: 4.05, ppl: 57.45
loc: 159, nll: 0.18, ppl: 1.20
loc: 160, nll: 0.10, ppl: 1.10
loc: 161, nll: 0.37, ppl: 1.45
loc: 162, nll: 0.00, ppl: 1.00
loc: 163, nll: 3.69, ppl: 39.94
loc: 164, nll: 5.13, ppl: 168.72
loc: 165, nll: 0.00, ppl: 1.00
loc: 166, nll: 0.91, ppl: 2.49
loc: 167, nll: 1.71, ppl: 5.55
loc: 168, nll: 2.24, ppl: 9.36
loc: 169, nll: 4.86, ppl: 129.64
loc: 170, nll: 0.59, ppl: 1.80
loc: 171, nll: 1.24, ppl: 3.45
loc: 172, nll: 3.19, ppl: 24.25
loc: 173, nll: 0.45, ppl: 1.56
loc: 174, nll: 4.71, ppl: 111.39
loc: 175, nll: 2.95, ppl: 19.02
loc: 176, nll: 2.36, ppl: 10.58
loc: 177, nll: 4.28, ppl: 72.11
loc: 178, nll: 0.86, ppl: 2.37
loc: 179, nll: 0.24, ppl: 1.28
loc: 180, nll: 1.53, ppl: 4.61
loc: 181, nll: 0.00, ppl: 1.00
loc: 182, nll: 0.00, ppl: 1.00
loc: 183, nll: 2.64, ppl: 14.06
loc: 184, nll: 0.15, ppl: 1.17
loc: 185, nll: 4.63, ppl: 102.68
loc: 186, nll: 1.32, ppl: 3.74
loc: 187, nll: 10.57, ppl: 38817.95
loc: 188, nll: 0.98, ppl: 2.66
loc: 189, nll: 4.98, ppl: 145.03
loc: 190, nll: 0.01, ppl: 1.01
loc: 191, nll: 1.60, ppl: 4.94
loc: 192, nll: 0.02, ppl: 1.02
loc: 193, nll: 0.17, ppl: 1.18
loc: 194, nll: 0.56, ppl: 1.75
loc: 195, nll: 0.57, ppl: 1.77
loc: 196, nll: 5.90, ppl: 365.89
loc: 197, nll: 0.32, ppl: 1.37
loc: 198, nll: 3.79, ppl: 44.10
loc: 199, nll: 2.14, ppl: 8.52
loc: 200, nll: 1.22, ppl: 3.37
loc: 201, nll: 2.81, ppl: 16.53
loc: 202, nll: 1.39, ppl: 4.00
loc: 203, nll: 0.13, ppl: 1.14
loc: 204, nll: 7.58, ppl: 1949.00
loc: 205, nll: 0.68, ppl: 1.98
loc: 206, nll: 0.10, ppl: 1.10
loc: 207, nll: 0.17, ppl: 1.19
loc: 208, nll: 2.02, ppl: 7.55
loc: 209, nll: 0.21, ppl: 1.24
loc: 210, nll: 0.24, ppl: 1.27
loc: 211, nll: 6.98, ppl: 1077.15
loc: 212, nll: 0.53, ppl: 1.70
loc: 213, nll: 3.19, ppl: 24.28
loc: 214, nll: 3.42, ppl: 30.45
loc: 215, nll: 2.59, ppl: 13.40
loc: 216, nll: 0.94, ppl: 2.57
loc: 217, nll: 0.20, ppl: 1.22
loc: 218, nll: 2.86, ppl: 17.49
loc: 219, nll: 0.44, ppl: 1.56
loc: 220, nll: 0.04, ppl: 1.04
loc: 221, nll: 3.38, ppl: 29.32
loc: 222, nll: 2.46, ppl: 11.72
loc: 223, nll: 1.72, ppl: 5.61
loc: 224, nll: 2.53, ppl: 12.61
loc: 225, nll: 0.27, ppl: 1.30
loc: 226, nll: 0.05, ppl: 1.05
loc: 227, nll: 0.16, ppl: 1.17
